Origin,January.FlightCount,January.DepDly,January.ArrDly,February.FlightCount,February.DepDly,February.ArrDly,March.FlightCount,March.DepDly,March.ArrDly,April.FlightCount,April.DepDly,April.ArrDly,May.FlightCount,May.DepDly,May.ArrDly,June.FlightCount,June.DepDly,June.ArrDly,July.FlightCount,July.DepDly,July.ArrDly,August.FlightCount,August.DepDly,August.ArrDly,September.FlightCount,September.DepDly,September.ArrDly,October.FlightCount,October.DepDly,October.ArrDly,November.FlightCount,November.DepDly,November.ArrDly,December.FlightCount,December.DepDly,December.ArrDly
ABE,180,2218,2020,163,3088,3141,166,1471,1588,168,765,867,226,1541,1347,244,3108,3220,239,5775,6193,235,4156,4134,168,1525,1458,202,2649,2423,196,3399,3059,182,1867,2161
ABQ,1443,13172,13338,1340,8021,7770,1489,13814,13609,1548,16323,16184,1692,17195,15910,1648,28333,28011,1658,26640,25660,1625,18304,18753,1612,11992,12286,1704,13158,14488,1605,11738,11708,1648,26086,24957
ABR,62,834,1161,58,359,566,62,1538,1718,60,1011,1162,62,11,22,60,125,138,62,545,529,62,196,155,60,279,248,69,184,144,65,630,713,61,1490,1442
ABY,79,719,758,78,1323,1261,89,760,757,85,827,817,86,1456,1479,86,989,967,86,981,956,89,892,921,84,885,898,88,1170,1097,79,837,778,73,898,876
ACT,145,771,790,139,749,757,149,2217,2148,145,2206,2163,121,1114,1099,71,605,676,112,1384,1568,119,2070,2059,106,1344,1505,110,601,826,102,2240,2298,100,2198,2434
ACV,125,2055,2290,116,2614,2666,95,2241,2191,116,2110,2162,124,2786,2697,120,1038,875,121,1653,1631,126,2149,1946,120,1429,1385,126,2483,2427,119,1765,1729,109,1308,1403
ACY,310,3787,5683,290,5591,6786,310,9213,9727,317,3383,3390,341,4704,4741,330,4226,3800,341,6641,6259,341,7458,6871,260,2458,2370,248,2476,2551,282,2098,2019,323,3962,3947
ADK,9,102,129,8,26,41,9,97,91,8,4,4,9,4,2,9,92,88,9,42,25,8,115,138,9,3,8,9,88,69,8,69,89,9,159,133
ADQ,43,102,123,39,80,90,31,220,223,31,108,148,51,584,661,56,126,160,56,217,233,58,168,251,56,244,300,57,389,435,34,98,125,30,225,310
AEX,208,2035,2144,207,3942,3861,219,2285,2355,216,1456,1536,236,1936,2083,262,3146,3487,236,4261,4438,262,4898,5069,242,2921,2845,250,1835,1796,262,3637,3792,260,4369,4764
AGS,196,2670,2464,173,2606,2427,235,2309,2092,239,1511,1441,233,2152,2313,227,3442,3318,227,5369,4900,230,5240,4936,240,4101,3842,228,2595,2188,208,1787,1467,205,2636,2692
ALB,758,6826,6564,676,5041,4133,835,7155,6772,790,6042,6081,888,6483,6572,813,8761,8975,795,16193,15595,759,10089,9372,740,5048,5092,778,3462,3331,774,6324,4547,772,7793,8392
AMA,246,1785,2075,224,956,1001,255,1885,2035,225,1781,1964,259,2797,2670,252,3836,3893,263,2450,2471,271,1751,2004,257,1006,1181,308,883,1016,266,996,1121,249,1865,1876
ANC,1232,3914,6335,1125,4397,5377,1227,5465,7401,1162,4048,6056,1466,6918,7542,1959,9782,11248,2112,14623,14129,2012,19470,18134,1395,6155,6362,1196,3816,5639,1115,3471,5565,1253,10494,11924
APN,52,1858,1886,50,986,982,54,286,367,51,1498,1119,53,795,762,52,364,325,62,356,264,58,1499,1380,52,629,537,52,532,482,53,405,258,53,1461,1390
ASE,607,9076,10421,661,10100,9464,721,15314,16334,216,1643,1617,119,1210,1488,291,2344,2125,435,4426,4675,402,4691,4948,270,2451,2647,200,1086,1341,124,1305,1344,562,19241,19170
ATL,29870,274201,256115,28746,288136,253875,32894,289446,271680,32185,237813,218755,33387,281904,271685,33279,492635,471081,33941,639593,616884,34166,589100,536435,31503,227255,208477,32769,172143,147970,30965,191755,173395,31107,366784,339536
ATW,270,2577,3068,246,2135,2561,288,2552,2998,322,1536,1875,271,1274,1590,261,2439,2565,230,1307,1402,257,2328,2333,309,3459,3479,377,2849,3410,298,3446,3477,251,4387,4900
AUS,3581,26358,24633,3328,21804,20663,3952,42176,40680,3855,43676,40695,3882,51342,51099,3908,54789,53274,4131,66333,65419,4075,54682,56165,3842,31028,32211,4037,28299,30050,3842,35170,34197,4035,45601,43875
AVL,204,3797,3517,183,4267,4064,268,2318,2634,272,1886,1894,265,2338,2198,337,6607,6846,358,7156,6841,332,6771,7228,309,3210,3357,350,4034,3923,262,4008,4092,256,5423,5166
AVP,153,977,1067,124,1768,1763,121,923,1091,68,336,711,167,2123,2080,110,643,746,165,2477,2564,174,2301,2352,168,1337,1539,177,1300,1695,151,2200,2203,90,1874,2411
AZO,206,2087,3164,202,2523,3125,213,3807,4357,208,1041,1503,143,732,816,134,1482,1506,153,921,1022,171,2477,2694,137,1117,1069,198,2793,2766,175,2106,2147,138,2679,3410
BDL,1520,15745,13983,1434,19703,19120,1622,13953,14606,1708,14437,14709,1800,14383,15440,1768,17924,18215,1773,19886,20839,1691,20381,19366,1590,8936,8941,1729,10903,10519,1857,12290,8856,1907,25002,27948
BET,81,181,299,79,317,359,85,352,392,81,150,184,82,90,178,82,84,167,80,103,133,85,82,125,81,133,175,83,87,141,78,116,271,81,676,784
BFL,188,2300,2414,192,3611,3668,237,2640,2649,226,1535,1717,234,1917,1983,227,854,893,229,2618,2586,234,1803,1574,223,1989,1968,234,3962,3890,202,1775,2188,177,2405,2423
BGM,76,1379,1352,81,1692,1399,89,655,616,85,1708,1748,85,204,330,86,380,373,99,1138,1132,54,534,615,56,778,820,56,771,828,54,1526,1658,56,1727,2056
BHM,891,7286,6745,910,8993,8679,1081,12443,12954,1043,7855,7955,1086,12089,12033,1042,18696,17746,1050,18116,17261,1057,14303,14857,1025,9190,9523,1069,8762,8198,1017,6594,6187,1029,10378,10163
BIL,283,1663,1871,268,1320,1372,302,913,1223,249,900,999,247,1143,1254,298,1308,1318,337,2198,2136,320,1832,1809,243,1773,1914,288,551,808,277,946,1151,300,5950,7038
BIS,208,2979,3234,172,2234,2437,227,3134,3424,255,2105,2076,198,1454,1722,233,2720,2518,212,2944,2983,196,2079,2249,203,2246,2301,168,544,499,149,2782,3047,159,2827,2852
BJI,62,570,652,58,651,551,62,413,536,60,500,626,62,178,164,60,163,189,62,1297,1284,62,1019,982,60,344,351,62,459,523,59,627,687,61,1387,1666
BMI,91,1278,1502,77,938,1153,93,939,969,135,649,785,145,1316,1518,140,1649,1908,159,1727,2156,146,1248,1442,135,1990,2085,145,923,918,132,1551,1571,119,1348,1515
BNA,3898,34224,36008,3658,30033,30971,4207,37283,35887,4054,38386,37167,4272,48579,48491,4631,74466,71693,4623,90821,88235,4593,64407,63464,4423,37238,37724,4598,35163,34705,4350,36343,35337,4508,56945,61170
BOI,1172,13191,14685,1139,12678,12952,1166,12511,13778,1100,10146,10198,1181,9622,10147,1290,11832,12283,1344,14596,14481,1334,14423,14142,1230,7619,7518,1272,11634,11482,1196,8328,8778,1389,26600,30701
BOS,9088,92661,88882,8796,149598,146117,9927,96583,96713,9893,109267,111104,10653,90452,89727,10866,127353,127775,11145,207967,207281,11218,164290,158094,10084,113451,108002,10473,103588,99994,9748,79861,62101,10186,133251,159518
BQK,86,843,940,81,1400,1315,89,607,590,85,498,561,86,345,467,86,1058,1092,91,1789,1855,92,1090,1276,83,1292,1165,88,1028,1106,81,1234,1198,84,1716,1781
BQN,172,2372,2333,118,1904,1875,115,951,837,111,988,974,170,1731,1522,186,2633,2202,208,4003,3477,201,4212,3810,139,2173,1911,146,1100,968,144,1362,1241,162,3134,3164
BRD,52,2035,2304,50,461,462,54,126,241,51,36,133,53,58,119,52,311,357,62,602,673,58,813,827,52,415,414,52,43,107,51,332,498,53,1087,1332
BRO,187,1152,1027,187,841,736,204,1545,1552,174,1517,1661,200,957,952,258,4458,4321,207,2630,2853,193,2745,2598,152,825,956,140,1346,1267,62,424,426,79,2743,2743
BRW,80,308,274,75,355,364,79,363,374,78,352,384,80,441,433,76,462,476,80,467,463,80,286,270,77,183,204,80,144,159,76,346,374,79,781,828
BTM,58,255,269,54,100,150,58,453,466,55,196,166,58,1443,1453,56,32,54,57,1129,1063,58,413,377,56,0,19,57,194,220,55,310,353,55,1534,1485
BTR,590,5819,6135,565,7084,7229,592,8520,9472,583,6059,7080,603,9298,9998,633,13307,13719,617,16219,16544,602,11403,11309,519,6807,6460,521,5618,5175,534,8846,8326,542,10992,10881
